4.43, 0.00, 4.12, 0.00, 5.96, 2.87, 6.22, 0.44, 0.00, 0.00
4.48, 0.00, 4.17, 0.00, 6.02, 2.90, 6.29, 0.44, 0.00, 0.00
4.57, 14.75, 13.16, 0.00, 31.71, 0.00, 13.98, 0.00, 0.00, 0.00
0.91, 0.00, 0.97, 0.00, 0.81, 1.27, 1.69, 0.00, 0.00, 0.00
0.15, 0.00, 0.14, 0.00, 0.20, 0.10, 0.21, 0.01, 0.00, 0.00
4.68, 0.00, 4.35, 0.00, 6.29, 3.03, 6.58, 0.46, 0.00, 0.00
0.91, 0.00, 0.97, 0.00, 0.81, 1.27, 1.69, 0.00, 0.00, 0.00
4.62, 3.08, 5.23, 0.00, 5.12, 4.03, 7.96, 1.97, 0.00, 3.01
4.83, 0.00, 4.49, 0.00, 6.50, 3.13, 6.79, 0.48, 0.00, 0.00
0.96, 0.00, 1.03, 0.00, 0.85, 1.34, 1.79, 0.00, 0.00, 0.00
5.07, 0.25, 4.38, 0.00, 6.62, 2.04, 6.80, 1.09, 0.00, 0.00
4.22, 1.68, 3.27, 0.00, 5.67, 0.89, 5.18, 1.61, 0.00, 0.00
0.00, 20.97, 9.35, 5.09, 16.27, 6.46, 9.72, 0.00, 0.00, 0.00
4.68, 0.00, 4.35, 0.00, 6.29, 3.03, 6.58, 0.46, 0.00, 0.00
4.71, 0.00, 4.67, 0.00, 4.98, 6.43, 8.49, 0.00, 0.00, 0.00
3.67, 0.00, 3.42, 0.00, 4.94, 2.38, 5.16, 0.36, 0.00, 0.00
4.91, 3.27, 5.56, 0.00, 5.44, 4.28, 8.47, 2.09, 0.00, 3.21
5.13, 0.00, 4.77, 0.00, 6.90, 3.33, 7.21, 0.51, 0.00, 0.00
3.72, 0.00, 3.46, 0.00, 5.01, 2.41, 5.23, 0.37, 0.00, 0.00
0.00, 22.04, 9.78, 5.64, 16.87, 7.12, 10.30, 0.00, 0.00, 0.00
5.14, 0.00, 5.76, 0.00, 3.62, 7.33, 9.69, 0.00, 0.00, 0.00
5.28, 0.00, 4.91, 0.00, 7.11, 3.43, 7.42, 0.52, 0.00, 0.00
5.24, 0.00, 5.88, 0.00, 3.68, 7.47, 9.88, 0.00, 0.00, 0.00
5.25, 3.51, 5.95, 0.00, 5.82, 4.57, 9.05, 2.24, 0.00, 3.43
