0.05, 0.00, 0.05, 0.00, 0.07, 0.03, 0.07, 0.00, 0.00, 0.00
0.10, 0.00, 0.09, 0.00, 0.14, 0.07, 0.14, 0.01, 0.00, 0.00
0.28, 0.62, 0.43, 0.15, 0.86, 0.37, 0.78, 0.00, 0.00, 0.06
0.47, 0.64, 0.57, 0.32, 1.04, 0.54, 1.07, 0.00, 0.00, 0.00
0.29, 0.26, 0.33, 0.00, 0.32, 0.21, 0.50, 0.13, 0.00, 0.26
0.31, 0.33, 0.33, 0.00, 0.36, 0.18, 0.50, 0.14, 0.00, 0.29
0.32, 0.86, 0.88, 0.00, 2.06, 0.00, 0.91, 0.00, 0.00, 0.00
0.45, 0.00, 0.42, 0.00, 0.61, 0.29, 0.64, 0.04, 0.00, 0.00
0.74, 0.53, 0.64, 0.12, 1.21, 0.42, 1.18, 0.00, 0.00, 0.16
0.74, 0.53, 0.64, 0.12, 1.21, 0.42, 1.18, 0.00, 0.00, 0.16
0.31, 0.03, 0.24, 0.00, 0.38, 0.37, 0.48, 0.08, 0.00, 0.00
0.95, 1.39, 0.83, 0.00, 2.14, 0.00, 1.52, 0.00, 0.00, 0.14
0.65, 0.00, 0.61, 0.00, 0.88, 0.42, 0.92, 0.06, 0.00, 0.00
0.72, 0.43, 0.80, 0.00, 0.82, 0.68, 1.25, 0.30, 0.00, 0.41
0.80, 0.34, 0.63, 0.00, 1.09, 0.18, 0.99, 0.31, 0.00, 0.00
0.87, 0.53, 0.96, 0.00, 0.98, 0.80, 1.51, 0.36, 0.00, 0.51
0.31, 0.03, 0.24, 0.00, 0.38, 0.37, 0.48, 0.08, 0.00, 0.00
0.47, 0.64, 0.57, 0.32, 1.04, 0.54, 1.07, 0.00, 0.00, 0.00
1.01, 0.32, 0.76, 0.00, 1.31, 0.16, 1.22, 0.36, 0.00, 0.00
0.15, 0.00, 0.14, 0.00, 0.20, 0.10, 0.21, 0.01, 0.00, 0.00
1.01, 0.63, 1.13, 0.00, 1.14, 0.93, 1.76, 0.42, 0.00, 0.60
0.26, 0.05, 0.21, 0.00, 0.32, 0.29, 0.40, 0.09, 0.00, 0.03
1.02, 0.76, 1.17, 0.00, 1.11, 0.83, 1.77, 0.45, 0.00, 0.76
0.47, 0.64, 0.57, 0.32, 1.04, 0.54, 1.07, 0.00, 0.00, 0.00
0.31, 0.03, 0.24, 0.00, 0.38, 0.37, 0.48, 0.08, 0.00, 0.00
1.16, 0.73, 1.29, 0.00, 1.30, 1.06, 2.01, 0.49, 0.00, 0.70
1.21, 0.00, 1.31, 0.00, 1.01, 1.70, 2.26, 0.00, 0.00, 0.00
0.15, 0.00, 0.14, 0.00, 0.20, 0.10, 0.21, 0.01, 0.00, 0.00
0.47, 0.64, 0.57, 0.32, 1.04, 0.54, 1.07, 0.00, 0.00, 0.00
0.32, 0.86, 0.88, 0.00, 2.06, 0.00, 0.91, 0.00, 0.00, 0.00
0.47, 0.64, 0.57, 0.32, 1.04, 0.54, 1.07, 0.00, 0.00, 0.00
0.40, 0.36, 0.37, 0.00, 0.58, 0.15, 0.57, 0.18, 0.00, 0.25
0.47, 0.64, 0.57, 0.32, 1.04, 0.54, 1.07, 0.00, 0.00, 0.00
1.44, 0.29, 1.05, 0.00, 1.79, 0.21, 1.78, 0.45, 0.00, 0.00
0.15, 0.00, 0.14, 0.00, 0.20, 0.10, 0.21, 0.01, 0.00, 0.00
0.47, 0.64, 0.57, 0.32, 1.04, 0.54, 1.07, 0.00, 0.00, 0.00
0.32, 0.86, 0.88, 0.00, 2.06, 0.00, 0.91, 0.00, 0.00, 0.00
1.36, 0.00, 1.26, 0.00, 1.83, 0.88, 1.91, 0.13, 0.00, 0.00
1.54, 0.29, 1.15, 0.00, 1.93, 0.27, 1.93, 0.47, 0.00, 0.00
1.55, 0.20, 1.28, 0.00, 1.99, 0.45, 2.04, 0.41, 0.00, 0.00
